,internal_id,uniprot_id,external_id
2146,bepA,P66948,yfgC b2494 JW2479
2147,bcsF,P0ADJ5,yhjT b3537 JW5663
2148,bglB,P11988,b3721 JW3699
2149,cirA,P17315,cir feuA b2155 JW2142
2150,clpS,P0A8Q6,yljA b0881 JW0865
2151,casA,Q46901,cse1 ygcL b2760 JW2730
2152,cobS,P36561,b1992 JW1970
2153,cysC,P0A6J1,b2750 JW2720
2154,araF,P02924,b1901 JW1889
2155,apaH,P05637,b0049 JW0048
2156,artI,P30859,b0863 JW0847
2157,aroH,P00887,b1704 JW1694
2158,atpF,P0ABA0,papF uncF b3736 JW3714
2159,atoS,Q06067,b2219 JW2213
2160,mgtA,P0ABB8,corB mgt b4242 JW4201
2161,btuC,P06609,b1711 JW1701
2162,baeS,P30847,b2078 JW2063
2163,cheA,P07363,b1888 JW1877
2164,clpX,P0A6H1,lopC b0438 JW0428
2165,aceK,P11071,b4016 JW3976
2166,aaaT,P46854,yhhY b3441 JW3405
2167,add,P22333,b1623 JW1615
2168,amtB,P69681,ybaG b0451 JW0441
2169,artJ,P30860,b0860 JW0844
2170,efp,P0A6N4,b4147 JW4107
2171,hemE,P29680,b3997 JW3961
2172,dgoT,P0AA76,yidT b3691 JW5859
2173,dgcF,P76147,yneF b1522 JW5825
2174,ebgC,P0AC73,b3077 JW3048
2175,dsbE,P0AA86,ccmG yejQ b2195 JW2183
2176,flhE,P76297,b1878 JW1867
2177,fdhD,P32177,b3895 JW3866
2178,fixC,P68644,yaaS b0043 JW0042
2179,fdnI,P0AEK7,b1476 JW1472
2180,acrE,P24180,envC b3265 JW3233
2181,bolA,P0ABE2,b0435 JW5060
2182,cheB,P07330,b1883 JW1872
2183,groL,P0A6F5,groEL mopA b4143 JW4103
2184,cfa,P0A9H7,cdfA b1661 JW1653
2185,coaA,P0A6I3,panK rts b3974 JW3942
2186,yeaW,P0ABR7,b1802 JW5294
2187,dnaN,P0A988,b3701 JW3678
2188,cspB,P36995,b1557 JW1549
2189,cspC,P0A9Y6,msmB b1823 JW1812
2190,csiE,P54901,b2535 JW5878
2191,degQ,P39099,hhoA b3234 JW3203
2192,elfD,P75856,ycbR b0939 JW0922
2193,envY,P10805,b0566 JW0555
2194,xthA,P09030,xth b1749 JW1738
2195,fadM,P77712,tesC ybaW b0443 JW0433
2196,mutM,P05523,fpg b3635 JW3610
2197,pepN,P04825,b0932 JW0915
2198,artQ,P0AE34,b0862 JW0846
2199,bcsG,P37659,yhjU b3538 JW3506
2200,cybB,P0ABE5,b1418 JW5224
2201,chiQ,P75734,ybfN b0682 JW0668
2202,creD,P08369,cet b4400 JW4363
2203,curA,P76113,yncB b1449 JW5907
2204,gadB,P69910,b1493 JW1488
2205,dam,P0AEE8,b3387 JW3350
2206,asd,P0A9Q9,hom b3433 JW3396
2207,dgcI,P75801,yliF b0834 JW0818
2208,dusC,P33371,yohI b2140 JW2128
2209,ftsQ,P06136,b0093 JW0091
2210,ais,P45565,pmrG b2252 JW2246
2211,eda,P0A955,hga kdgA b1850 JW1839
2212,argD,P18335,dapC dtu b3359 JW3322
2213,cheY,P0AE67,b1882 JW1871
2214,cyoC,P0ABJ3,b0430 JW0420
2215,dapB,P04036,b0031 JW0029
2216,gcd,P15877,b0124 JW0120
2217,eno,P0A6P9,b2779 JW2750
2218,nth,P0AB83,b1633 JW1625
2219,endA,P25736,b2945 JW2912
2220,eutG,P76553,yffV b2453 JW2437
2221,acpH,P21515,yajB b0404 JW0394
2222,ygiF,P30871,b3054 JW3026
2223,acpT,P37623,yhhU b3475 JW3440
2224,adeP,P31466,purP yieG b3714 JW3692
2225,alsK,P32718,yjcT b4084 JW5724
2226,arfB,P40711,yaeJ b0191 JW0187
2227,bdm,P76127,yddX b1481 JW5239
2228,cbrC,P31469,yieJ b3717 JW3695
2229,casC,Q46899,cas4 cse4 ygcJ b2758 JW2728
2230,chaC,P39163,b1218 JW1209
2231,ccmC,P0ABM1,yejT yejU b2199 JW2187
2232,eutE,P77445,yffX b2455 JW2439
2233,feoC,P64638,yhgG b3410 JW3373
2234,ftsA,P0ABH0,divA b0094 JW0092
2235,gfcD,P75882,ymcA b0984 JW0967
2236,alsE,P32719,yjcU b4085 JW4046
2237,appB,P26458,cbdB cyxB b0979 JW0961
2238,pepP,P15034,b2908 JW2876
2239,bcr,P28246,bicA bicR sur suxA b2182 JW5363
2240,cpxP,P0AE85,yiiO b4484 JW5558
2241,cpxA,P0AE82,ecfB eup ssd b3911 JW3882
2242,crl,P24251,b0240 JW0230
2243,crfC,P0DM85,yjdA b4109 JW4070
2244,dinQ,A5A624,b4613
2245,ecpD,P77694,matE yagW b0290 JW0284
2246,fabY,P0ADQ2,yiiD b3888 JW3859
2247,epmB,P39280,yjeK b4146 JW4106
2248,flxA,P77609,b1566 JW1558
2249,fnr,P0A9E5,nirR b1334 JW1328
2250,fdx,P0A9R4,b2525 JW2509
2251,fliM,P06974,cheC2 fla AII fla QII b1945 JW1929
2252,fliD,P24216,flaV flbC b1924 JW1909
2253,fiu,P75780,ybiL b0805 JW0790
2254,aes,P23872,ybaC b0476 JW0465
2255,acrB,P31224,acrE b0462 JW0451
2256,arcA,P0A9Q1,cpxC dye fexA msp seg sfrA b4401 JW4364
2257,arcB,P0AEC3,b3210 JW5536
2258,bipA,P0DTT0,o591 typA yihK b3871 JW5571
2259,beeE,P75980,ymfO b1151 JW1137
2260,cdaR,P37047,sdaR yaeG b0162 JW5013
2261,cysU,P16701,cysT b2424 JW2417
2262,cyoB,P0ABI8,b0431 JW0421
2263,cvpA,P08550,dedE b2313 JW2310
2264,dctR,P37195,yhiF b3507 JW3475
2265,degP,P0C0V0,htrA ptd b0161 JW0157
2266,diaA,P66817,yraO b3149 JW3118
2267,dhaK,P76015,ycgT b1200 JW5187
2268,dxs,P77488,yajP b0420 JW0410
2269,folA,P0ABQ4,tmrA b0048 JW0047
2270,ygeX,P66899,b2871 JW2839
2271,alaA,P0A959,yfbQ b2290 JW2287
2272,ahr,P27250,yjgB b4269 JW5761
2273,astE,P76215,ydjS b1744 JW1733
2274,cadB,P0AAE8,b4132 JW4093
2275,cheR,P07364,cheX b1884 JW1873
2276,chpS,P08365,chpBI yjfB b4224 JW5750
2277,cmoA,P76290,yecO b1870 JW1859
2278,cysG,P0AEA8,b3368 JW3331
2279,cysP,P16700,b2425 JW2418
2280,dacB,P24228,b3182 JW3149
2281,dgoK,P31459,yidV b3693 JW3670
2282,eco,P23827,eti b2209 JW2197
2283,efeU,P75901,ycdN b4490 JW5141/JW1002 b1016/b1017
2284,eptB,P37661,yhjW b3546 JW5660
2285,erfK,P39176,yeeG yzzT b1990 JW1968
2286,flgD,P75936,fla FIV flaV b1075 JW1062
2287,fis,P0A6R3,b3261 JW3229
2288,fhuE,P16869,b1102 JW1088
2289,fimI,P39264,b4315 JW5779
2290,frmA,P25437,adhC b0356 JW0347
2291,araJ,P23910,b0396 JW0386
2292,mrp,P0AF08,b2113 JW2100
2293,appC,P26459,cbdA cyxA b0978 JW0960
2294,btuF,P37028,yadT b0158 JW0154
2295,bisC,P20099,b3551 JW5940
2296,dcuA,P0ABN5,genA b4138 JW5735
2297,dmlA,P76251,yeaU b1800 JW1789
2298,deoR,P0ACK5,nucR b0840 JW0824
2299,dgcM,P77302,ydaM b1341 JW5206
2300,dppA,P23847,b3544 JW3513
2301,folC,P08192,dedC b2315 JW2312
2302,flgN,P43533,b1070 JW1057
2303,fixB,P31574,yaaR b0042 JW0041
2304,fumA,P0AC33,b1612 JW1604
2305,fepA,P05825,fep feuB b0584 JW5086
2306,gabD,P25526,b2661 JW2636
2307,yfdE,P76518,b2371 JW2368
2308,yfaS,P76464,yfaR b4500 JW2221/JW2222 b2227/b2228
2309,allA,P77731,glxA2 ybbT b0505 JW0493
2310,amiA,P36548,yfeE b2435 JW2428 Q1PH25 UTI89_C2768
2311,fbaA,P0AB71,fba fda b2925 JW2892
2312,aroE,P15770,b3281 JW3242
2313,arnC,P77757,pmrF yfbF b2254 JW2248
2314,bdcR,P39334,yjgJ b4251 JW4208
2315,bioD2,P0A6E9,ynfK b1593 JW5264
2316,uidA,P05804,gurA gusA b1617 JW1609
2317,ccdA,P62552,H letA ECOK12F042
2318,dmsD,P69853,ynfI b1591 JW5262
2319,dsbC,P0AEG6,xprA b2893 JW2861
2320,emrE,P23895,eb mvrC b0543 JW0531
2321,aas,P31119,b2836 JW2804
2322,aaeX,P46478,yhcR b3242 JW5541
2323,adeQ,P31440,yicO b3664 JW5636
2324,acuI,P26646,yhdH b3253 JW3222
2325,arfA,P36675,yhdL b4550 JW3253
2326,argH,P11447,b3960 JW3932
2327,ampD,P13016,b0110 JW0106
2328,astD,P76217,ydjU b1746 JW5282
2329,aroK,P0A6D7,b3390 JW5947
2330,atpH,P0ABA4,papE uncH b3735 JW3713
2331,betI,P17446,b0313 JW0305
2332,bicB,P28247,
2333,abgR,P77744,b1339 JW1333
2334,acpS,P24224,dpj b2563 JW2547
2335,arsC,P0AB96,arsG b3503 JW3470
2336,artA,P18032,ECOK12F093
2337,btuR,P0A9H5,cobA b1270 JW1262
2338,birA,P06709,bioR dhbB b3973 JW3941
2339,caiA,P60584,yaaO b0039 JW0038
2340,cheW,P0A964,b1887 JW1876
2341,dkgB,P30863,yafB b0207 JW0197
2342,deoC,P0A6L0,dra thyR b4381 JW4344
2343,dxr,P45568,ispC yaeM b0173 JW0168
2344,emrY,P52600,b2367 JW2364
2345,pgl,P52697,ybhE b0767 JW0750
2346,ahpF,P35340,b0606 JW0599
2347,allB,P77671,glxB3 ybbX b0512 JW0500
2348,afuB,P75681,fbpB b0263 JW0255
2349,melA,P06720,mel-7 b4119 JW4080
2350,araG,P0AAF3,b1900 JW1888
2351,apaG,P62672,b0050 JW0049
2352,aroL,P0A6E1,b0388 JW0379
2353,atpG,P0ABA6,papC uncG b3733 JW3711
2354,atoB,P76461,b2224 JW2218
2355,betB,P17445,b0312 JW0304
2356,bssS,P0AB33,yceP b1060 JW5152
2357,dlsT,P42628,yhaO b3110 JW5519
2358,dnaK,P0A6Y8,groP grpF seg b0014 JW0013
2359,gdhA,P00370,b1761 JW1750
2360,dps,P0ABT2,pexB vtm b0812 JW0797
2361,aaeB,P46481,yhcP b3240 JW3209
2362,ygfA,P0AC28,b2912 JW2879
2363,agaI,P42912,yraG b3141 JW3110
2364,chrR,P0AGE6,yieF b3713 JW3691
2365,cmoB,P76291,yecP b1871 JW1860
2366,dnaJ,P08622,groP b0015 JW0014
2367,dnaQ,P03007,mutD b0215 JW0205
2368,polA,P00582,resA b3863 JW3835
2369,emrB,P0AEJ0,b2686 JW2661
2370,emrD,P31442,yicQ b3673 JW5634
2371,eutP,P76556,ypfD b2461 JW2445
2372,fadE,Q47146,yafH b0221 JW5020
2373,eutR,P36547,yfeG b2437 JW2430
2374,aaeR,P67662,yhcS b3243 JW3212
2375,gnd,P00350,b2029 JW2011
2376,allR,P0ACN4,glxA3 ybbU b0506 JW0494
2377,amiD,P75820,ybjR b0867 JW0851
2378,acrD,P24177,yffA b2470 JW2454
2379,appX,P24244,yccB b4592 JW0961.1 b0979.1
2380,basR,P30843,pmrA b4113 JW4074
2381,lacZ,P00722,b0344 JW0335 B8LFD6
2382,blr,P56976,b4409 JW5963
2383,baeR,P69228,b2079 JW2064
2384,accB,P0ABD8,fabE b3255 JW3223
2385,cbtA,P64524,yeeV b2005 JW1987
2386,cydX,P56100,ybgT b4515 JW0724
2387,cydC,P23886,mdrA mdrH surB b0886 JW0869
2388,cusA,P38054,ybdE b0575 JW0564
2389,dhaM,P37349,ycgC b1198 JW5185
2390,der,P0A6P5,engA yfgK b2511 JW5403
2391,dgcP,P76245,yeaP b1794 JW5292
2392,dsdX,P08555,orf445 yfdA yfdD b2365 JW2362
2393,dtpC,P39276,yjdL b4130 JW4091
2394,erpA,P0ACC3,yadR b0156 JW0152
2395,yfbR,P76491,b2291 JW2288
2396,fbaB,P0A991,dhnA b2097 JW5344
2397,adhP,P39451,yddN b1478 JW1474
2398,tynA,P46883,maoA b1386 JW1381
2399,acrR,P0ACS9,ybaH b0464 JW0453
2400,argB,P0A6C8,b3959 JW5553
2401,araB,P08204,b0063 JW0062
2402,bioH,P13001,bioB b3412 JW3375
2403,bluF,P75990,blrp ycgF b1163 JW1150
2404,bsmA,P39297,yjfO b4189 JW5743
2405,betA,P17444,b0311 JW0303
2406,casD,Q46898,cas5 ygcI b2757 JW5844
2407,caiD,P31551,yaaL b0036 JW0035
2408,chbR,P17410,celD b1735 JW1724 A4UR78 A4UR84 A4UR86 A4UR81 A4UR83 A4UR80 A4UR79 A4UR75 A4UR77 A4UR76
2409,chaB,P0AE63,b1217 JW1208
2410,cspH,P0A982,cspK b0989 JW5134
2411,cysI,P17846,b2763 JW2733
2412,hyaC,P0AAM1,b0974 JW0956
2413,dcyD,P76316,yedO b1919 JW5313
2414,dedA,P0ABP6,b2317 JW2314
2415,digH,P64426,yddW b1491 JW1486
2416,ecnB,P0ADB7,yjeU b4411 JW4108
2417,dsbB,P0A6M2,roxB ycgA b1185 JW5182
2418,nfo,P0A6C1,b2159 JW2146
2419,abgB,P76052,ydaI b1337 JW1331 ECK1333
2420,aldA,P25553,ald b1415 JW1412
2421,amn,P0AE12,b1982 JW1963
2422,yccX,P0AB65,b0968 JW5131
2423,aqpZ,P60844,bniP b0875 JW0859
2424,aroM,P0AE28,b0390 JW0381
2425,carB,P00968,pyrA b0033 JW0031
2426,cbpM,P63264,yccD b0999 JW0984
2427,clpP,P0A6G7,lopP b0437 JW0427
2428,dsbG,P77202,ybdP b0604 JW0597
2429,ahpC,P0AE08,b0605 JW0598
2430,ycjG,P51981,ycjH b1325 JW1318
2431,yahI,P77624,b0323 JW0315
2432,argT,P09551,b2310 JW2307
2433,ansA,P0A962,b1767 JW1756
2434,ascG,P24242,b2714 JW5434
2435,ebgA,P06864,b3076 JW5511
2436,bluR,P75989,ycgE b1162 JW1149
2437,bamD,P0AC02,yfiO b2595 JW2577
2438,bcsA,P37653,yhjO yhjP b3533 JW5665
2439,caiT,P31553,yaaP b0040 JW0039
2440,chbG,P37794,ydjC b1733 JW1722
2441,ccmD,P0ABM5,yojM b2198 JW2186
2442,ccmH,P0ABM9,yejP b2194 JW2182
2443,cmoM,P36566,smtA ycbD b0921 JW0904
2444,clsC,P75919,ymdC b1046 JW5150
2445,cpdA,P0AEW4,icc b3032 JW3000
2446,cysJ,P38038,b2764 JW2734
2447,dedD,P09549,b2314 JW5378
2448,dksA,P0ABS1,b0145 JW0141
2449,dmsB,P18776,b0895 JW0878
2450,dgcT,P75908,ycdT b1025 JW5143
2451,alkA,P04395,aidA b2068 JW2053
2452,aaeA,P46482,yhcQ b3241 JW3210
2453,flu,P39180,yeeQ yzzX b2000 JW1982
2454,agaA,P42906,b3135 JW5527
2455,ansB,P00805,b2957 JW2924
2456,blc,P0A901,yjeL b4149 JW4110
2457,bioP,P0ADP5,yigM b3827 JW3803
2458,bhsA,P0AB40,comC ycfR b1112 JW1098
2459,bglJ,P39404,yjjR b4366 JW5955
2460,bglX,P33363,yohA b2132 JW2120
2461,croE,P75975,ymfT b1146 JW5169
2462,lysA,P00861,b2838 JW2806
2463,alaE,P64550,ygaW b2670 JW2645
2464,alaC,P77434,yfdZ b2379 JW2376
2465,actP,P32705,yjcG b4067 JW4028
2466,argP,P0A8S1,iciA b2916 JW2883
2467,argG,P0A6E4,b3172 JW3140
2468,aroB,P07639,b3389 JW3352
2469,arnB,P77690,pmrH yfbE b2253 JW5372
2470,arnE,Q47377,pmrL yfbW b4544 JW2252
2471,atl,P0AFP2,ybaZ b0454 JW0444
2472,atpA,P0ABB0,papA uncA b3734 JW3712
2473,btuB,P06129,bfe cer dcrC b3966 JW3938
2474,bioD1,P13000,b0778 JW0761
2475,caiB,P31572,yaaN b0038 JW0037
2476,chpB,P33647,chpBK yjfE b4225 JW4184
2477,cydB,P0ABK2,cyd-2 b0734 JW0723
2478,ddlA,P0A6J8,b0381 JW0372
2479,dmsA,P18775,b0894 JW5118
2480,djlA,P31680,yabH b0055 JW0054
2481,dnaB,P0ACB0,groP grpA b4052 JW4012
2482,dusA,P32695,yjbN b4049 JW5950
2483,dppF,P37313,dppE b3540 JW3509
2484,entF,P11454,b0586 JW0578
2485,fadB,P21177,oldB b3846 JW3822
2486,exuR,P0ACL2,b3094 JW3065
2487,fepB,P0AEL6,b0592 JW0584
2488,fliK,P52614,flaE flaR b1943 JW1927
2489,flgM,P0AEM4,b1071 JW1058
2490,fliT,P0ABY2,b1926 JW1911
2491,fecI,P23484,b4293 JW4253
2492,galU,P0AEP3,ychD b1236 JW1224
2493,frlR,P45544,yhfR b3375 JW5698
2494,guaC,P60560,b0104 JW0101
2495,pflD,P32674,yijL b3951 JW3923
2496,hslV,P0A7B8,htpO yiiC b3932 JW3903
2497,hofN,P64634,yrfC b3394 JW3357
2498,hisD,P06988,b2020 JW2002
2499,JW5919,P0CF49,JW5919
2500,kbl,P0AB77,b3617 JW3592
2501,cyoA,P0ABJ1,b0432 JW0422
2502,dcuR,P0AD01,yjdG b4124 JW4085
2503,dapD,P0A9D8,b0166 JW0161
2504,dgoD,Q6BF17,yidU b4478 JW5629
2505,nei,P50465,b0714 JW0704
2506,eutH,P76552,yffU b2452 JW2436
2507,evgS,P30855,b2370 JW2367
2508,etp,P0ACZ2,yccY b0982 JW5132
2509,xseB,P0A8G9,yajE b0422 JW0412
2510,fhuF,P39405,yjjS b4367 JW4331
2511,fdrA,Q47208,ylbD b0518 JW0506
2512,fecE,P15031,b4287 JW4247
2513,fsaB,P32669,talC yijG b3946 JW3918
2514,galR,P03024,b2837 JW2805
2515,fumB,P14407,b4122 JW4083
2516,gph,P32662,yhfE b3385 JW3348
2517,hflX,P25519,b4173 JW4131
2518,lafU,Q47154,mbhA b0230 JW5812
2519,ydgI,P0AAE5,b1605 JW1597
2520,cbpA,P36659,b1000 JW0985
2521,cedA,P0AE60,ydjP b1731 JW1720
2522,corA,P0ABI4,b3816 JW3789
2523,cydA,P0ABJ9,cyd-1 b0733 JW0722
2524,cycA,P0AAE0,dagA ytfD b4208 JW4166
2525,cysH,P17854,b2762 JW2732
2526,dinF,P28303,b4044 JW4004
2527,ysgA,P56262,b3830 JW5853
2528,dgcE,P38097,yegE b2067 JW2052
2529,ebgR,P06846,b3075 JW3046
2530,dhaL,P76014,ycgS b1199 JW5186
2531,eutA,P76551,yffT b2451 JW2435
2532,fabB,P0A953,fabC b2323 JW2320
2533,frsA,P04335,yafA b0239 JW0229
2534,ftsP,P26648,sufI b3017 JW2985
2535,gltB,P09831,aspB b3212 JW3179
2536,glpQ,P09394,b2239 JW2233
2537,hemN,P32131,yihJ b3867 JW3838
2538,fadH,P42593,ygjL b3081 JW3052
2539,fabD,P0AAI9,tfpA b1092 JW1078
2540,epmC,P76938,yfcM b2326 JW5381
2541,epmA,P0A8N7,genX poxA yjeA b4155 JW4116
2542,eptA,P30845,pmrC yjdB b4114 JW5730
2543,fldB,P0ABY4,b2895 JW2863
2544,flgA,P75933,b1072 JW1059
2545,fepE,P26266,b0587 JW0579 Q1PI54 UTI89_C0589
2546,fmt,P23882,yhdD b3288 JW3249
2547,flgB,P0ABW9,fla FII flbA b1073 JW1060
2548,fdoH,P0AAJ5,b3893 JW3864
2549,fdoG,P32176,b3894 JW3865
2550,fimB,P0ADH5,b4312 JW4275
2551,fucU,P0AEN8,b2804 JW2775
2552,fucO,P0A9S1,b2799 JW2770
2553,galF,P0AAB6,wcaN b2042 JW2027
2554,glcE,P52073,gox yghL b4468 JW5487
2555,hyi,P30147,gip ybbG b0508 JW0496
2556,hybA,P0AAJ8,b2996 JW2964
2557,hybB,P37180,b2995 JW5494
2558,hybD,P37182,b2993 JW2961
2559,hybE,P0AAN1,b2992 JW2960
2560,hybF,P0A703,b2991 JW5493
2561,hybG,P0AAM7,b2990 JW2958
2562,hycA,P0AEV4,hevA b2725 JW2695
2563,hycB,P0AAK1,hevB b2724 JW2694
2564,hypA,P0A700,b2726 JW2696
2565,hycC,P16429,hevC b2723 JW2693
2566,hycD,P16430,hevD b2722 JW2692
2567,hycE,P16431,hevE b2721 JW2691
2568,hycF,P16432,hevF b2720 JW2690
2569,hycG,P16433,hevG b2719 JW2689
2570,hycH,P0AEV7,hevH b2718 JW2688
2571,hycI,P0AEV9,b2717 JW2687
2572,icd,P08200,icdA icdE b1136 JW1122 Q1PI72 UTI89_C1266
2573,hydN,P0AAK4,b2713 JW2683
2574,hypB,P0AAN3,b2727 JW2697
2575,hypC,P0AAM3,b2728 JW2698
2576,hypD,P24192,b2729 JW2699
2577,gdx,P69937,sugE b4148 JW5738
2578,gpmB,P0A7A2,ytjC b4395 JW4358
2579,gmhA,P63224,lpcA tfrA yafI b0222 JW0212
2580,gntP,P0AC94,yjiB b4321 JW4284
2581,glpR,P0ACL0,b3423 JW3386
2582,leuE,P76249,yeaS b1798 JW1787
2583,aspC,P00509,b0928 JW0911
2584,alkB,P05050,aidD b2212 JW2200
2585,argK,P27254,ygfD b2918 JW2885
2586,ampE,P0AE14,b0111 JW0107
2587,aroG,P0AB91,b0754 JW0737
2588,speG,P0A951,b1584 JW1576
2589,bfd,P0AE56,yheA b3337 JW3299
2590,bamB,P77774,yfgL b2512 JW2496
2591,citC,P77390,ybeO b0618 JW0610
2592,csdE,P0AGF2,ygdK b2811 JW2782
2593,engB,P0A6P7,yihA b3865 JW5930
2594,fliG,P0ABZ1,fla AII.2 fla BII b1939 JW1923
2595,fucI,P69922,b2802 JW2773
2596,gadW,P63201,yhiW b3515 JW3483
2597,ybgI,P0AFP6,b0710 JW0700
2598,gudD,P0AES2,ygcX b2787 JW2758
2599,eutM,P0ABF4,cchA yffZ b2457 JW2441
2600,fadR,P0A8V6,oleR thdB b1187 JW1176
2601,exbB,P0ABU7,b3006 JW2974
2602,feoA,P0AEL3,b3408 JW3371
2603,flgG,P0ABX5,fla FVII flaL b1078 JW1065
2604,fbpC,P37009,afuC yagC b0262 JW0254
2605,fdoI,P0AEL0,b3892 JW3863
2606,fdnH,P0AAJ3,b1475 JW1471
2607,fumE,P11663,yggD b2929 JW2896
2608,garP,P0AA80,yhaU b3127 JW3096
2609,gadE,P63204,yhiE yhiT b3512 JW3480
2610,galE,P09147,galD b0759 JW0742
2611,ftsX,P0AC30,ftsS b3462 JW3427
2612,ycjM,P76041,ggaP b1309 JW1302
2613,hypE,P24193,b2730 JW2700
2614,hypF,P30131,hydA b2712 JW5433
2615,hyfA,P23481,yffE b2481 JW2466
2616,hyfB,P23482,yffF b2482 JW2467
2617,hyfC,P77858,b2483 JW2468
2618,hyfD,P77416,b2484 JW2469
2619,hyfE,P0AEW1,b2485 JW2470
2620,hyfF,P77437,b2486 JW2471
2621,ispD,Q46893,ygbP b2747 JW2717
2622,gntU,P0AC96,b4476 JW5686
2623,grcA,P68066,yfiD b2579 JW2563
2624,grxA,P68688,grx b0849 JW0833
2625,grxD,P0AC69,ydhD b1654 JW1646
2626,gloC,P75849,ycbL b0927 JW0910
2627,hslR,P0ACG8,yrfH b3400 JW3363
2628,hokB,P77494,ydcB b4428 JW5225
2629,folK,P26281,b0142 JW0138
2630,infB,P0A705,gicD ssyG b3168 JW3137
2631,iraM,P75987,elb1 elbA ycgW b1160 JW1147
2632,prs,P0A717,prsA b1207 JW1198
2633,acrF,P24181,envD b3266 JW3234
2634,apt,P69503,b0469 JW0458
2635,araA,P08202,b0062 JW0061
2636,cbl,Q47083,b1987 JW1966
2637,eutD,P77218,eutI ypfA b2458 JW2442
2638,exoD,P75717,ybcC b0539 JW0526
2639,glgA,P0A6U8,b3429 JW3392
2640,glgX,P15067,glyX b3431 JW3394
2641,ybhK,P75767,b0780 JW0763
2642,glrR,P0AFU4,yfhA b2554 JW2538
2643,gstB,P0ACA7,yliJ b0838 JW0822
2644,gshA,P0A6W9,gsh-I b2688 JW2663
2645,hslJ,P52644,ydbI b1379 JW1374
2646,kdsC,P0ABZ4,yrbI yrbJ b3198 JW3165
2647,leuB,P30125,b0073 JW5807
2648,lacY,P02920,b0343 JW0334
2649,tufB,P0CE48,b3980 JW3943
2650,fliE,P0A8T5,fla AI flaN b1937 JW1921
2651,finO,P22707,
2652,frdA,P00363,b4154 JW4115
2653,fur,P0A9A9,b0683 JW0669
2654,galM,P0A9C3,b0756 JW0739
2655,ghxP,P0AF52,yjcD b4064 JW4025
2656,gatR,P36930,b4498 JW5340/JW2074 b2087/b2090
2657,gntK,P46859,b3437 JW3400
2658,gspH,P41443,hofH hopH b3329 JW3291
2659,hpf,P0AFX0,yhbH b3203 JW3170
2660,hrpB,P37024,yadO b0148 JW0144
2661,hrpA,P43329,b1413 JW5905
2662,holB,P28631,b1099 JW1085
2663,JW5914,P0CE61,JW5914
2664,insB9,A0A385XJL4,b4710
2665,JW5899,P0CF61,JW5899
2666,insD1,P0CF53,b0361 JW0352
2667,insE7,P0CF72,ybfA ECOK12F018
2668,JW5934,P0CF50,JW5934
2669,insK,P19769,dinS b3558 JW3528
2670,kdpF,P36937,b4513 JW0687
2671,mmuP,Q47689,ykfD b0260 JW5027
2672,fadA,P21151,oldA b3845 JW5578
2673,eutS,P63746,ypfE b2462 JW2446
2674,eutJ,P77277,yffW b2454 JW2438
2675,eutL,P76541,yffJ b2439 JW2432
2676,xseA,P04994,b2509 JW2493
2677,fadL,P10384,ttr b2344 JW2341
2678,essQ,P77237,ydfS b1556 JW5255
2679,fhlA,P19323,b2731 JW2701
2680,fimZ,P0AEL8,ybcA b0535 JW5073
2681,glpT,P08194,b2240 JW2234
2682,htpX,P23894,b1829 JW1818
2683,hha,P0ACE3,b0460 JW0449
2684,hspQ,P0AB20,yccV b0966 JW5970
2685,hldE,P76658,rfaE waaE yqiF b3052 JW3024
2686,insA3,P0CF09,b0275 JW0269
2687,insD5,P0CF57,b3045 JW3013
2688,insB6,P0CF29,b3445 JW3409
2689,insH5,P76071,b1370 JW1363
2690,kdpC,P03961,b0696 JW0684
2691,kefF,P0A754,yabF b0046 JW0045
2692,pykF,P0AD61,b1676 JW1666
2693,lamB,P02943,malB b4036 JW3996
2694,ldrA,P0DPD0,b4419 JW5957
2695,cynX,P17583,b0341 JW0332
2696,gadA,P69908,gadS b3517 JW3485
2697,degS,P0AEE3,hhoB htrH b3235 JW3204
2698,decR,P0ACJ5,ybaO b0447 JW0437
2699,dnaC,P0AEF0,dnaD b4361 JW4325
2700,dinJ,Q47150,b0226 JW0216
2701,dinB,Q47155,dinP b0231 JW0221
2702,dpiB,P77510,citA mpdB ybeP b0619 JW0611
2703,efeO,P0AB24,ycdO b1018 JW1003
2704,glnE,P30870,b3053 JW3025
2705,hyfJ,P77453,b2490 JW2475
2706,JW1882,P0CE59,JW1882
2707,kdgK,P37647,yhjI b3526 JW5668
2708,mmuM,Q47690,yagD b0261 JW0253
2709,cysN,P23845,b2751 JW2721
2710,csrA,P69913,zfiA b2696 JW2666
2711,csqR,P32144,yihW b3884 JW5567
2712,dapA,P0A6L2,b2478 JW2463
2713,deaD,P0A9P6,csdA mssB rhlD b3162 JW5531
2714,sdhD,P0AC44,b0722 JW0712
2715,dinG,P27296,rarB b0799 JW0784
2716,dgt,P15723,b0160 JW0156
2717,dicA,P06966,b1570 JW1562
2718,dgcJ,P76237,yeaJ b1786 JW5291
2719,fbp,P0A993,fdp b4232 JW4191
2720,fabH,P0A6R0,b1091 JW1077
2721,essD,P0A9R2,ybcR b0554 JW0543
2722,eptC,P0CB39,cptA yijP b3955 JW3927
2723,fixX,P68646,yaaT b0044 JW0043
2724,fepC,P23878,b0588 JW0580
2725,fliL,P0ABX8,cheC1 fla AI fla QI b1944 JW1928
2726,fliP,P0AC05,flaR b1948 JW1932
