,Unnamed: 0,Target,coact,corep,Coef.Acts,Coef.Reps,Coef.coActs,Coef.coReps,R2,RMSE,interactions,coop,MergeScore
2024,1132674,YOR107W,YPR008W YGR067C,YCR018C YDR146C,-1.39145300683288 -2.11001806646653,-0.522581898638096 -2.11001806646653,"0,233344033417335","0,0475168856569883","0,636497455059349","0,697884441596744",0,0,"0,212165818353116"
2025,1136957,YNL090W,YGR063C YPL129W YLR183C,YFL044C YFR034C YDR169C,0.309799426684885 0.245718935161382 0.427564290175374,0.192690791519793 0.427564290175374,"-0,00266171634575216","-0,00235304186949783","0,676895102419084","0,290117176539569",0,"0,166666666666667","0,281187256361917"
2026,1138224,YIL118W,YBR066C YPL129W,YMR164C YAL051W YDL138W,-0.504339950525858 -0.0144649855077961,-0.164551251603848,"0,0666881963645788","-0,00159279047083565","0,74465204903739","0,412452104543757",0,0,"0,24821734967913"
2027,1139059,YKR055W,YJL103C YIL154C YMR053C,YLR183C YML027W,0.199011637929075 0.0701534261319421 0.274319279121357,-0.482869024909465 0.274319279121357 0.0701534261319421,"0,00051888285244222","0,0869171189821037","0,66810424941442","0,31890184750854",0,0,"0,222701416471473"
2028,1139138,YNL180C,YDR043C YER111C YGL096W,YJR147W YGL209W,-0.0152118601670227 -0.0129682525206435 -0.095078265663521,0.195376443821499 -0.095078265663521 -0.0129682525206435,"0,00393613605651183","-0,0486237495611456","0,36613422652289","0,549730469429393",0,0,"0,122044742174297"
2029,1139231,YIL053W,YOR344C,YCL055W YBR297W YGR067C,0.344133361526841,0.916943024185412 0.469744392091234,,"-0,0121838223904674","0,619001125143668","0,621599504162672",0,0,"0,206333708381223"
2030,1139371,YBL033C,YDL020C YBR240C YGR067C,YGL209W YML027W,0.617681220036797 0.740141044088275 0.585203300108844,-0.249350188904582 0.585203300108844 0.740141044088275,"-0,00594618492471408","0,0318023627518942","0,658095994176044","0,474577131219119",0,0,"0,219365331392015"
2031,1139873,YDR487C,YPR094W YGR044C YGR063C,YDR096W YAL051W YOR290C,-0.418109201900205 -0.18291636632396 -0.104379881857337,0.0689463104329791 -0.104379881857337,"0,00295814807869543","0,00132871637621464","0,566875762516729","0,321711893316553",0,0,"0,188958587505576"
2032,1140362,YOL143C,,YIR017C YIL119C,,1.44842492199031 1.37981426208924,,"-0,185807291358409","0,36285269508603","0,51358827749331",0,0,"0,12095089836201"
2033,1140523,YBR256C,YCL055W YDR277C YGR067C,YBL066C,0.1558703637233 -0.0143591451250087 -0.0131145123863203,-0.476943561069243,"0,00155383222580585",,"0,471475223142392","0,434385099707535","0,25",0,"0,240491741047464"
